Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG12.TDT8;825.5352;15.03.2019 05:44:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.236;15.03.2019 05:44:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.4612;15.03.2019 05:49:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.5352;15.03.2019 05:50:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.5352;15.03.2019 05:51:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.3405;15.03.2019 05:51:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.3405;15.03.2019 05:52:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;833.8991;15.03.2019 05:52:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;833.8991;15.03.2019 05:53:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;837.3081;15.03.2019 05:53:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;837.3081;15.03.2019 05:54:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.454;15.03.2019 05:54:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.454;15.03.2019 05:55:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.9658;15.03.2019 05:55:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.2432;15.03.2019 05:59:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.5081;15.03.2019 05:59:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.5081;15.03.2019 06:00:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.3369;15.03.2019 06:00:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.4702;15.03.2019 06:09:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.2054;15.03.2019 06:13:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.791;15.03.2019 06:14:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.7243;15.03.2019 06:14:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.3009;15.03.2019 06:19:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.3351;15.03.2019 06:19:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.3351;15.03.2019 06:22:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.0847;15.03.2019 06:22:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.0847;15.03.2019 06:23:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.1117;15.03.2019 06:23:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.1117;15.03.2019 06:24:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.2973;15.03.2019 06:24:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.2973;15.03.2019 06:25:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.9586;15.03.2019 06:25:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.9586;15.03.2019 06:26:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.3423;15.03.2019 06:26:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;815.5063;15.03.2019 06:31:18;False;Not Annotated;False
